"Показник","Базисний період","Територіальний розріз","Тип товарів і послуг","Періодичність","Період","Значення cпостереження"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Хліб пшеничний з борошна вищого ґатунку","Місячна","2018-M02","18.06"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Хліб пшеничний з борошна вищого ґатунку","Місячна","2018-M03","18.26"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Хліб пшеничний з борошна вищого ґатунку","Місячна","2018-M04","18.06"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Хліб пшеничний з борошна вищого ґатунку","Місячна","2018-M05","18.08"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Хліб пшеничний з борошна вищого ґатунку","Місячна","2018-M06","18.11"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Хліб пшеничний з борошна вищого ґатунку","Місячна","2018-M07","18.64"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Хліб пшеничний з борошна вищого ґатунку","Місячна","2018-M08","18.84"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Хліб пшеничний з борошна вищого ґатунку","Місячна","2018-M09","18.35"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Хліб пшеничний з борошна вищого ґатунку","Місячна","2018-M10","19.02"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Хліб пшеничний з борошна вищого ґатунку","Місячна","2018-M11","19.39"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Хліб пшеничний з борошна вищого ґатунку","Місячна","2018-M12","19.56"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Хліб пшеничний з борошна вищого ґатунку","Місячна","2019-M01","20.63"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Хліб пшеничний з борошна вищого ґатунку","Місячна","2019-M02","20.64"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Хліб пшеничний з борошна вищого ґатунку","Місячна","2019-M03","20.64"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Хліб пшеничний з борошна вищого ґатунку","Місячна","2019-M04","20.76"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Хліб пшеничний з борошна вищого ґатунку","Місячна","2019-M05","21.09"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Хліб пшеничний з борошна вищого ґатунку","Місячна","2019-M06","21.37"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Хліб пшеничний з борошна вищого ґатунку","Місячна","2019-M07","21.6"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Хліб пшеничний з борошна вищого ґатунку","Місячна","2019-M08","21.45"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Хліб пшеничний з борошна вищого ґатунку","Місячна","2019-M09","21.83"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Хліб пшеничний з борошна вищого ґатунку","Місячна","2019-M10","21.89"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Хліб пшеничний з борошна вищого ґатунку","Місячна","2019-M11","22.12"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Хліб пшеничний з борошна вищого ґатунку","Місячна","2019-M12","22.13"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Хліб пшеничний з борошна вищого ґатунку","Місячна","2020-M01","23.12"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Хліб пшеничний з борошна вищого ґатунку","Місячна","2020-M02","23"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Хліб пшеничний з борошна вищого ґатунку","Місячна","2020-M03","23"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Хліб пшеничний з борошна вищого ґатунку","Місячна","2020-M04","22.48"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Хліб пшеничний з борошна вищого ґатунку","Місячна","2020-M05","22.76"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Хліб пшеничний з борошна вищого ґатунку","Місячна","2020-M06","23.42"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Хліб пшеничний з борошна вищого ґатунку","Місячна","2020-M07","23.13"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Хліб пшеничний з борошна вищого ґатунку","Місячна","2020-M08","23.13"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Хліб пшеничний з борошна вищого ґатунку","Місячна","2020-M09","23.13"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Хліб пшеничний з борошна вищого ґатунку","Місячна","2020-M10","23.87"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Хліб пшеничний з борошна вищого ґатунку","Місячна","2020-M11","24.14"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Хліб пшеничний з борошна вищого ґатунку","Місячна","2020-M12","24.83"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Хліб пшеничний з борошна вищого ґатунку","Місячна","2021-M01","24.42"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Хліб пшеничний з борошна вищого ґатунку","Місячна","2021-M02","25.18"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Хліб пшеничний з борошна вищого ґатунку","Місячна","2021-M03","25.88"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Хліб пшеничний з борошна вищого ґатунку","Місячна","2021-M04","26.24"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Хліб пшеничний з борошна вищого ґатунку","Місячна","2021-M05","26.24"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Хліб пшеничний з борошна вищого ґатунку","Місячна","2021-M06","26.59"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Хліб пшеничний з борошна вищого ґатунку","Місячна","2021-M07","26.59"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Хліб пшеничний з борошна вищого ґатунку","Місячна","2021-M08","26.59"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Хліб пшеничний з борошна вищого ґатунку","Місячна","2021-M09","30.34"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Хліб пшеничний з борошна вищого ґатунку","Місячна","2021-M10","31.24"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Хліб пшеничний з борошна вищого ґатунку","Місячна","2021-M11","32.97"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Хліб пшеничний з борошна вищого ґатунку","Місячна","2021-M12","33.06"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Хліб пшеничний з борошна вищого ґатунку","Місячна","2022-M01","32.95"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Хліб пшеничний з борошна вищого ґатунку","Місячна","2022-M02","35.08"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Хліб пшеничний з борошна вищого ґатунку","Місячна","2022-M03","35.74"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Хліб пшеничний з борошна вищого ґатунку","Місячна","2022-M04","35.74"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Хліб пшеничний з борошна вищого ґатунку","Місячна","2022-M05","35.74"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Хліб пшеничний з борошна вищого ґатунку","Місячна","2022-M06","40.8"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Хліб пшеничний з борошна вищого ґатунку","Місячна","2022-M07","40.85"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Хліб пшеничний з борошна вищого ґатунку","Місячна","2022-M08","40.85"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Хліб пшеничний з борошна вищого ґатунку","Місячна","2022-M09","40.85"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Хліб пшеничний з борошна вищого ґатунку","Місячна","2022-M10","34.36"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Хліб пшеничний з борошна вищого ґатунку","Місячна","2022-M11","36.5"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Хліб пшеничний з борошна вищого ґатунку","Місячна","2022-M12","36.5"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Хліб пшеничний з борошна вищого ґатунку","Місячна","2023-M01","41.99"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Хліб пшеничний з борошна вищого ґатунку","Місячна","2023-M02","42.7"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Хліб пшеничний з борошна вищого ґатунку","Місячна","2023-M03","42.13"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Хліб пшеничний з борошна вищого ґатунку","Місячна","2023-M04","42.47"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Хліб пшеничний з борошна вищого ґатунку","Місячна","2023-M05","42.48"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Хліб пшеничний з борошна вищого ґатунку","Місячна","2023-M06","42.48"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Хліб пшеничний з борошна вищого ґатунку","Місячна","2023-M07","42.48"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Хліб пшеничний з борошна вищого ґатунку","Місячна","2023-M08","42.84"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Хліб пшеничний з борошна вищого ґатунку","Місячна","2023-M09","42.84"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Хліб пшеничний з борошна вищого ґатунку","Місячна","2023-M10","42.97"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Хліб пшеничний з борошна вищого ґатунку","Місячна","2023-M11","43.99"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Хліб пшеничний з борошна вищого ґатунку","Місячна","2023-M12","43.99"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Хліб пшеничний з борошна вищого ґатунку","Місячна","2024-M01","44.7"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Хліб пшеничний з борошна вищого ґатунку","Місячна","2024-M02","44.7"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Хліб пшеничний з борошна вищого ґатунку","Місячна","2024-M03","44.43"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Хліб пшеничний з борошна вищого ґатунку","Місячна","2024-M04","44.43"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Хліб пшеничний з борошна вищого ґатунку","Місячна","2024-M05","45.08"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Хліб пшеничний з борошна вищого ґатунку","Місячна","2024-M06","45.91"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Хліб пшеничний з борошна вищого ґатунку","Місячна","2024-M07","47.23"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Хліб пшеничний з борошна вищого ґатунку","Місячна","2024-M08","48.15"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Хліб пшеничний з борошна вищого ґатунку","Місячна","2024-M09","48.54"
"Середні споживчі ціни на товари (послуги)","Не застосовується","Сумська","Хліб пшеничний з борошна вищого ґатунку","Місячна","2024-M10","48.88"
