"Показник","Базисний період","Територіальний розріз","Тип товарів і послуг","Періодичність","Період","Значення cпостереження"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2011-M08","100"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2011-M09","100.8"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2011-M10","100.4"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2011-M11","100.5"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2011-M12","100.3"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2012-M01","100"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2012-M02","99.9"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2012-M03","100.9"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2012-M04","100.6"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2012-M05","100.6"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2012-M06","100.2"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2012-M07","100.2"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2012-M08","99.7"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2012-M09","99.8"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2012-M10","99.7"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2012-M11","100.1"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2012-M12","99.8"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2013-M01","100.3"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2013-M02","100.3"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2013-M03","100.8"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2013-M04","100.1"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2013-M05","100"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2013-M06","100.3"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2013-M07","100.1"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2013-M08","100.2"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2013-M09","100.3"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2013-M10","100.3"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2013-M11","100.2"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2013-M12","100.1"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2014-M01","100"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2014-M02","100.4"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2014-M03","101.1"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2014-M04","103.5"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2014-M05","103"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2014-M06","101.7"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2014-M07","101.5"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2014-M08","101.5"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2014-M09","101.7"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2014-M10","102.1"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2014-M11","101.9"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2014-M12","102.4"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2015-M01","102.1"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2015-M02","105.4"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2015-M03","106.8"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2015-M04","103.5"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2015-M05","101.1"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2015-M06","100.2"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2015-M07","101"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2015-M08","99.7"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2015-M09","100.1"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2015-M10","100.2"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2015-M11","102.7"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2015-M12","101.2"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2016-M01","100.7"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2016-M02","101.2"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2016-M03","100.5"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2016-M04","100.5"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2016-M05","100.6"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2016-M06","99.2"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2016-M07","100.2"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2016-M08","100.2"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2016-M09","100.4"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2016-M10","100.4"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2016-M11","100.7"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2016-M12","100.7"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2017-M01","100.5"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2017-M02","100.3"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2017-M03","100.2"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2017-M04","100.1"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2017-M05","100.1"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2017-M06","100.7"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2017-M07","100.3"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2017-M08","100.3"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2017-M09","100.2"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2017-M10","100.4"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2017-M11","101.1"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2017-M12","101.3"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2018-M01","101.7"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2018-M02","101.3"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2018-M03","100.2"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2018-M04","99.4"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2018-M05","101.2"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2018-M06","100.2"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2018-M07","100.1"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2018-M08","100.5"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2018-M09","100.3"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2018-M10","100.2"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2018-M11","100.5"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2018-M12","100.3"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2019-M01","100.9"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2019-M02","100.9"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2019-M03","100"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2019-M04","100"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2019-M05","100.7"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2019-M06","99.8"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2019-M07","100.1"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2019-M08","99.7"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2019-M09","99.4"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2019-M10","100.2"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2019-M11","100"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2019-M12","99.9"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2020-M01","100.5"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2020-M02","99.8"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2020-M03","100.7"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2020-M04","102.2"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2020-M05","100.6"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2020-M06","99.9"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2020-M07","100.1"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2020-M08","100.5"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2020-M09","100.4"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2020-M10","100.4"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2020-M11","101.4"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2020-M12","100.3"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2021-M01","100.4"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2021-M02","100.2"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2021-M03","100"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2021-M04","101.8"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2021-M05","100.2"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2021-M06","100.1"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2021-M07","100"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2021-M08","99.1"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2021-M09","101.2"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2021-M10","102"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2021-M11","101"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2021-M12","99.6"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2022-M01","100.3"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2022-M02","102.5"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2022-M03","104.5"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2022-M04","105.5"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2022-M05","95.8"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2022-M06","102.1"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2022-M07","99.7"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2022-M08","105.6"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2022-M09","99.5"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2022-M10","100.9"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2022-M11","99.4"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2022-M12","101.5"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2023-M01","100.6"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2023-M02","101.7"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2023-M03","100.4"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2023-M04","100.8"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2023-M05","101.4"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2023-M06","99.7"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2023-M07","100.9"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2023-M08","100.1"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2023-M09","101"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2023-M10","100.3"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2023-M11","101.3"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2023-M12","101"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2024-M01","100.6"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2024-M02","100.1"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2024-M03","101.4"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2024-M04","100.9"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2024-M05","100.6"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2024-M06","100.2"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2024-M07","101.2"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2024-M08","102"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2024-M09","101.2"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2024-M10","100.5"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2024-M11","99.4"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2024-M12","103.1"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2025-M01","100.3"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2025-M02","101.3"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2025-M03","102.7"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2025-M04","99.4"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2025-M05","101.1"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2025-M06","99.1"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2025-M07","99.6"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2025-M08","100"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2025-M09","100.3"
"Індекс споживчих цін","До попереднього місяця","Сумська","Охорона здоров’я","Місячна","2025-M10","100.7"
"Індекс споживчих цін","До попереднього місяця","Сумська","Транспорт","Місячна","2007-M01","101.1"
"Індекс споживчих цін","До попереднього місяця","Сумська","Транспорт","Місячна","2007-M02","99.4"
"Індекс споживчих цін","До попереднього місяця","Сумська","Транспорт","Місячна","2007-M03","100.6"
"Індекс споживчих цін","До попереднього місяця","Сумська","Транспорт","Місячна","2007-M04","100.3"
"Індекс споживчих цін","До попереднього місяця","Сумська","Транспорт","Місячна","2007-M05","102.1"
"Індекс споживчих цін","До попереднього місяця","Сумська","Транспорт","Місячна","2007-M06","102.7"
"Індекс споживчих цін","До попереднього місяця","Сумська","Транспорт","Місячна","2007-M07","100.4"
"Індекс споживчих цін","До попереднього місяця","Сумська","Транспорт","Місячна","2007-M08","100"
"Індекс споживчих цін","До попереднього місяця","Сумська","Транспорт","Місячна","2007-M09","100.2"
"Індекс споживчих цін","До попереднього місяця","Сумська","Транспорт","Місячна","2007-M10","101.4"
"Індекс споживчих цін","До попереднього місяця","Сумська","Транспорт","Місячна","2007-M11","104.5"
"Індекс споживчих цін","До попереднього місяця","Сумська","Транспорт","Місячна","2007-M12","102.7"
"Індекс споживчих цін","До попереднього місяця","Сумська","Транспорт","Місячна","2008-M01","102"
"Індекс споживчих цін","До попереднього місяця","Сумська","Транспорт","Місячна","2008-M02","100.8"
"Індекс споживчих цін","До попереднього місяця","Сумська","Транспорт","Місячна","2008-M03","104.2"
"Індекс споживчих цін","До попереднього місяця","Сумська","Транспорт","Місячна","2008-M04","102.7"
"Індекс споживчих цін","До попереднього місяця","Сумська","Транспорт","Місячна","2008-M05","103.3"
"Індекс споживчих цін","До попереднього місяця","Сумська","Транспорт","Місячна","2008-M06","104"
"Індекс споживчих цін","До попереднього місяця","Сумська","Транспорт","Місячна","2008-M07","101.9"
"Індекс споживчих цін","До попереднього місяця","Сумська","Транспорт","Місячна","2008-M08","101.6"
"Індекс споживчих цін","До попереднього місяця","Сумська","Транспорт","Місячна","2008-M09","99.8"
"Індекс споживчих цін","До попереднього місяця","Сумська","Транспорт","Місячна","2008-M10","100.8"
"Індекс споживчих цін","До попереднього місяця","Сумська","Транспорт","Місячна","2008-M11","96.2"
"Індекс споживчих цін","До попереднього місяця","Сумська","Транспорт","Місячна","2008-M12","99.7"
"Індекс споживчих цін","До попереднього місяця","Сумська","Транспорт","Місячна","2009-M01","104.9"
"Індекс споживчих цін","До попереднього місяця","Сумська","Транспорт","Місячна","2009-M02","102.4"
"Індекс споживчих цін","До попереднього місяця","Сумська","Транспорт","Місячна","2009-M03","100.5"
"Індекс споживчих цін","До попереднього місяця","Сумська","Транспорт","Місячна","2009-M04","101.2"
"Індекс споживчих цін","До попереднього місяця","Сумська","Транспорт","Місячна","2009-M05","101.4"
"Індекс споживчих цін","До попереднього місяця","Сумська","Транспорт","Місячна","2009-M06","102"
"Індекс споживчих цін","До попереднього місяця","Сумська","Транспорт","Місячна","2009-M07","101.3"
"Індекс споживчих цін","До попереднього місяця","Сумська","Транспорт","Місячна","2009-M08","104.7"
"Індекс споживчих цін","До попереднього місяця","Сумська","Транспорт","Місячна","2009-M09","101.9"
"Індекс споживчих цін","До попереднього місяця","Сумська","Транспорт","Місячна","2009-M10","99.9"
"Індекс споживчих цін","До попереднього місяця","Сумська","Транспорт","Місячна","2009-M11","100.8"
"Індекс споживчих цін","До попереднього місяця","Сумська","Транспорт","Місячна","2009-M12","98.4"
"Індекс споживчих цін","До попереднього місяця","Сумська","Транспорт","Місячна","2010-M01","101.2"
"Індекс споживчих цін","До попереднього місяця","Сумська","Транспорт","Місячна","2010-M02","102.3"
"Індекс споживчих цін","До попереднього місяця","Сумська","Транспорт","Місячна","2010-M03","100.8"
"Індекс споживчих цін","До попереднього місяця","Сумська","Транспорт","Місячна","2010-M04","100.8"
"Індекс споживчих цін","До попереднього місяця","Сумська","Транспорт","Місячна","2010-M05","100.5"
"Індекс споживчих цін","До попереднього місяця","Сумська","Транспорт","Місячна","2010-M06","99.4"
"Індекс споживчих цін","До попереднього місяця","Сумська","Транспорт","Місячна","2010-M07","99.5"
"Індекс споживчих цін","До попереднього місяця","Сумська","Транспорт","Місячна","2010-M08","100.4"
"Індекс споживчих цін","До попереднього місяця","Сумська","Транспорт","Місячна","2010-M09","99.9"
"Індекс споживчих цін","До попереднього місяця","Сумська","Транспорт","Місячна","2010-M10","100"
"Індекс споживчих цін","До попереднього місяця","Сумська","Транспорт","Місячна","2010-M11","100.5"
"Індекс споживчих цін","До попереднього місяця","Сумська","Транспорт","Місячна","2010-M12","101.3"
"Індекс споживчих цін","До попереднього місяця","Сумська","Транспорт","Місячна","2011-M01","103.6"
"Індекс споживчих цін","До попереднього місяця","Сумська","Транспорт","Місячна","2011-M02","102.7"
"Індекс споживчих цін","До попереднього місяця","Сумська","Транспорт","Місячна","2011-M03","104.7"
"Індекс споживчих цін","До попереднього місяця","Сумська","Транспорт","Місячна","2011-M04","103.1"
"Індекс споживчих цін","До попереднього місяця","Сумська","Транспорт","Місячна","2011-M05","101.6"
"Індекс споживчих цін","До попереднього місяця","Сумська","Транспорт","Місячна","2011-M06","100.4"
"Індекс споживчих цін","До попереднього місяця","Сумська","Транспорт","Місячна","2011-M07","100.3"
"Індекс споживчих цін","До попереднього місяця","Сумська","Транспорт","Місячна","2011-M08","100.1"
"Індекс споживчих цін","До попереднього місяця","Сумська","Транспорт","Місячна","2011-M09","100.3"
"Індекс споживчих цін","До попереднього місяця","Сумська","Транспорт","Місячна","2011-M10","100.3"
"Індекс споживчих цін","До попереднього місяця","Сумська","Транспорт","Місячна","2011-M11","103.8"
"Індекс споживчих цін","До попереднього місяця","Сумська","Транспорт","Місячна","2011-M12","100.1"
"Індекс споживчих цін","До попереднього місяця","Сумська","Транспорт","Місячна","2012-M01","100"
"Індекс споживчих цін","До попереднього місяця","Сумська","Транспорт","Місячна","2012-M02","100.1"
"Індекс споживчих цін","До попереднього місяця","Сумська","Транспорт","Місячна","2012-M03","101"
"Індекс споживчих цін","До попереднього місяця","Сумська","Транспорт","Місячна","2012-M04","102.4"
"Індекс споживчих цін","До попереднього місяця","Сумська","Транспорт","Місячна","2012-M05","100"
"Індекс споживчих цін","До попереднього місяця","Сумська","Транспорт","Місячна","2012-M06","99.9"
"Індекс споживчих цін","До попереднього місяця","Сумська","Транспорт","Місячна","2012-M07","100.5"
"Індекс споживчих цін","До попереднього місяця","Сумська","Транспорт","Місячна","2012-M08","100.3"
"Індекс споживчих цін","До попереднього місяця","Сумська","Транспорт","Місячна","2012-M09","100.3"
"Індекс споживчих цін","До попереднього місяця","Сумська","Транспорт","Місячна","2012-M10","99.8"
"Індекс споживчих цін","До попереднього місяця","Сумська","Транспорт","Місячна","2012-M11","100"
"Індекс споживчих цін","До попереднього місяця","Сумська","Транспорт","Місячна","2012-M12","99.9"
"Індекс споживчих цін","До попереднього місяця","Сумська","Транспорт","Місячна","2013-M01","99.7"
"Індекс споживчих цін","До попереднього місяця","Сумська","Транспорт","Місячна","2013-M02","100"
"Індекс споживчих цін","До попереднього місяця","Сумська","Транспорт","Місячна","2013-M03","100.3"
"Індекс споживчих цін","До попереднього місяця","Сумська","Транспорт","Місячна","2013-M04","99.9"
"Індекс споживчих цін","До попереднього місяця","Сумська","Транспорт","Місячна","2013-M05","100"
"Індекс споживчих цін","До попереднього місяця","Сумська","Транспорт","Місячна","2013-M06","100.7"
"Індекс споживчих цін","До попереднього місяця","Сумська","Транспорт","Місячна","2013-M07","99.9"
"Індекс споживчих цін","До попереднього місяця","Сумська","Транспорт","Місячна","2013-M08","100.2"
"Індекс споживчих цін","До попереднього місяця","Сумська","Транспорт","Місячна","2013-M09","99.8"
"Індекс споживчих цін","До попереднього місяця","Сумська","Транспорт","Місячна","2013-M10","100.4"
"Індекс споживчих цін","До попереднього місяця","Сумська","Транспорт","Місячна","2013-M11","99.8"
"Індекс споживчих цін","До попереднього місяця","Сумська","Транспорт","Місячна","2013-M12","99.8"
"Індекс споживчих цін","До попереднього місяця","Сумська","Транспорт","Місячна","2014-M01","100.4"
"Індекс споживчих цін","До попереднього місяця","Сумська","Транспорт","Місячна","2014-M02","101.6"
"Індекс споживчих цін","До попереднього місяця","Сумська","Транспорт","Місячна","2014-M03","105.1"
"Індекс споживчих цін","До попереднього місяця","Сумська","Транспорт","Місячна","2014-M04","109.3"
"Індекс споживчих цін","До попереднього місяця","Сумська","Транспорт","Місячна","2014-M05","104.9"
"Індекс споживчих цін","До попереднього місяця","Сумська","Транспорт","Місячна","2014-M06","101"
"Індекс споживчих цін","До попереднього місяця","Сумська","Транспорт","Місячна","2014-M07","101"
"Індекс споживчих цін","До попереднього місяця","Сумська","Транспорт","Місячна","2014-M08","104"
"Індекс споживчих цін","До попереднього місяця","Сумська","Транспорт","Місячна","2014-M09","103"
"Індекс споживчих цін","До попереднього місяця","Сумська","Транспорт","Місячна","2014-M10","98.9"
"Індекс споживчих цін","До попереднього місяця","Сумська","Транспорт","Місячна","2014-M11","102.3"
"Індекс споживчих цін","До попереднього місяця","Сумська","Транспорт","Місячна","2014-M12","100.9"
